Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,figura.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
16.png,0,1,28,66,15,21.68422859997372,,,,,,,,,,,,,21.669265199976508,21.68422859997372,21.68422859997372,21.868796799972188,space,0.1730764999811072,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
18.png,0,1,29,67,17,21.884395699977176,,,,,,,,,,,,,21.8691638999735,21.884395699977176,21.884395699977176,22.867583899991587,None,,,22.884388799982844,22.884388799982844,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
20.png,0,1,30,68,19,22.884388799982844,,,,,,,,,,,,,22.867855799995596,22.884388799982844,22.884388799982844,23.01790129998699,space,0.11772170002222992,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,31,69,31,23.034119199990528,,,,,,,,,,,,,23.018264899990754,23.034119199990528,23.034119199990528,23.168215999990935,space,0.1242774999991525,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
22.png,0,1,32,70,21,23.184098999976413,,,,,,,,,,,,,23.168563599989284,23.184098999976413,23.184098999976413,23.334720099985134,space,0.1390423999982886,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
3.png,0,1,33,71,2,23.350443999981508,,,,,,,,,,,,,23.33507409997401,23.350443999981508,23.350443999981508,23.418800199986435,space,0.06328629999188706,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,34,72,33,23.454075199988438,,,,,,,,,,,,,23.419323499983875,23.454075199988438,23.454075199988438,23.534041499980958,space,0.07051520000095479,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
8.png,0,1,35,73,7,23.551986199978273,,,,,,,,,,,,,23.534429499995895,23.551986199978273,23.551986199978273,23.670280799997272,space,0.10470519997761585,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
24.png,0,1,36,74,23,23.699089099973207,,,,,,,,,,,,,23.670640299998922,23.699089099973207,23.699089099973207,23.77148609998403,space,0.057288300013169646,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,37,75,27,23.804370799975004,,,,,,,,,,,,,23.771820699999807,23.804370799975004,23.804370799975004,23.902994399977615,space,0.08919539998169057,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
